Book Name;Quote
University of Berkshire Hathaway: 30 Years of Lessons Learned from Warren Buffett & Charlie Munger at the Annual Shareholders Meeting (Pecaut, Daniel);Buffett explained that financial disasters come about because stupid decisions in financial companies are not accompanied by immediate pain. Instead, people give you more money. Seeing this, competitors indulge in mindless imitation. Thus, when failure comes, it is huge.
University of Berkshire Hathaway: 30 Years of Lessons Learned from Warren Buffett & Charlie Munger at the Annual Shareholders Meeting (Pecaut, Daniel);The documented record of how people have behaved over many years has far more predictive power than a personal interview.
University of Berkshire Hathaway: 30 Years of Lessons Learned from Warren Buffett & Charlie Munger at the Annual Shareholders Meeting (Pecaut, Daniel);Value is the only concern for any economic commitment. To calculate your expected return, compute the discounted present value of the flow of all cash from the business between now and judgment day. To do so, you must A) determine the amounts and certainty of cash flows in and out and B) select a discount rate.
University of Berkshire Hathaway: 30 Years of Lessons Learned from Warren Buffett & Charlie Munger at the Annual Shareholders Meeting (Pecaut, Daniel);It is extremely difficult to break into the food business, and that is precisely why an established brand name product is so valuable.
University of Berkshire Hathaway: 30 Years of Lessons Learned from Warren Buffett & Charlie Munger at the Annual Shareholders Meeting (Pecaut, Daniel);“If investors only had to study the past, the richest people would be librarians.”
University of Berkshire Hathaway: 30 Years of Lessons Learned from Warren Buffett & Charlie Munger at the Annual Shareholders Meeting (Pecaut, Daniel);equity and $91 billion of float, Berkshire has substantial capital
University of Berkshire Hathaway: 30 Years of Lessons Learned from Warren Buffett & Charlie Munger at the Annual Shareholders Meeting (Pecaut, Daniel);Value is what a business is worth. Price is what you have to pay to get it.
University of Berkshire Hathaway: 30 Years of Lessons Learned from Warren Buffett & Charlie Munger at the Annual Shareholders Meeting (Pecaut, Daniel);Munger denied being humble (of course) but noted that the key to his and Buffett’s success has been that “we’ve had a very low opinion of our abilities.” He said that he’d rather be with a guy with an IQ of 130 who thinks it is 128 than a guy with an IQ of 190 who thinks it is 240. The latter will get you into a lot of trouble.
University of Berkshire Hathaway: 30 Years of Lessons Learned from Warren Buffett & Charlie Munger at the Annual Shareholders Meeting (Pecaut, Daniel);Buffett also noted that book value is seldom meaningful in analyzing the value of a business. Book value simply records what was put into the business. The key to calculating value is determining what will come out of the business.
University of Berkshire Hathaway: 30 Years of Lessons Learned from Warren Buffett & Charlie Munger at the Annual Shareholders Meeting (Pecaut, Daniel);While inflation is still undesirable, well-run businesses that employ relatively little capital, that throw off lots of cash and that have pricing flexibility will cope well with inflation.
University of Berkshire Hathaway: 30 Years of Lessons Learned from Warren Buffett & Charlie Munger at the Annual Shareholders Meeting (Pecaut, Daniel);“It is far better to buy a wonderful company at a fair price than a fair company at a wonderful price.” – Warren Buffett
University of Berkshire Hathaway: 30 Years of Lessons Learned from Warren Buffett & Charlie Munger at the Annual Shareholders Meeting (Pecaut, Daniel);Value is the only concern for any economic commitment. To calculate your expected return, compute the discounted present value of the flow of all cash from the business between now and judgment day. To do so, you must A) determine the amounts and certainty of cash flows in and out and B) select a discount rate. Buffett noted that growth can enhance or detract from the calculated value. For example, electric utilities were forced to grow and to invest capital in the 1970s, which lowered their returns.  More dramatically, Buffett noted that the assured growth of the airline industry has been a death sentence to American investors. Since Kitty Hawk, the industry has lost money every year! Yet the industry asks for more money from investors every year. The idea is to find investments that give you money, not take it.
